match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
112,D,D,0.007465429727114377,"[1.63, 4.06, 5.59]",1.0008590298786892
113,D,A,0.0034113386313227773,"[2.42, 3.62, 2.91]",0.9974447608055558
114,D,D,0.001480052519292728,"[2.5, 3.38, 2.97]",1.0009582849075396
115,A,A,0.006821143164996532,"[1.64, 4.11, 5.43]",1.0312049062600381
116,A,A,0.006372187221828024,"[1.48, 4.98, 6.13]",1.0649142938882996
117,H,A,0.008593393395890611,"[10.83, 5.79, 1.28]",1.0557630664280104
118,D,D,0.004842795343960034,"[5.24, 4.25, 1.64]",1.0723798109308835
119,A,A,0.007593642372149163,"[1.5, 4.58, 6.49]",1.1170863564854416
120,D,D,0.005833452472553959,"[1.39, 5.33, 7.66]",1.1453026723141646
121,A,H,0.008913621717508702,"[1.65, 4.33, 4.98]",1.1350938775411044
122,D,D,0.00225453966795796,"[3.16, 3.52, 2.31]",1.1415428452590115
123,A,H,0.009494709049239665,"[1.78, 3.75, 4.85]",1.130704228076036
124,H,A,0.007776603773846931,"[2.86, 3.6, 2.46]",1.1219111893088751
125,H,A,0.009891253333775309,"[7.07, 4.76, 1.46]",1.110814081517424
126,A,H,0.007383879076167581,"[1.7, 4.3, 4.6]",1.1026119646633952
127,A,H,0.006382410247839473,"[1.55, 4.36, 6.17]",1.0955746427607371
128,A,D,0.0055309588945969,"[1.75, 4.35, 4.28]",1.0895150644456648
129,D,H,0.00912853226299974,"[2.08, 3.76, 3.48]",1.0795693910288484
130,D,A,0.007878741802313242,"[3.15, 3.41, 2.39]",1.0710637425392515
131,D,H,0.0038899607175765186,"[2.95, 3.43, 2.52]",1.0668973466547533
132,D,H,0.005666755651142084,"[2.16, 3.4, 3.62]",1.060851500086409
133,A,H,0.004525741720024015,"[1.36, 5.41, 8.26]",1.0560503601937177
134,H,D,0.009349012156799282,"[4.29, 4.04, 1.8]",1.0461773325380743
135,H,A,0.00994674725088568,"[8.92, 5.79, 1.33]",1.0357712710317122
136,A,H,0.007162452720736992,"[1.45, 4.87, 7.03]",1.0283526082734498
137,A,H,0.007347769944729756,"[1.8, 3.91, 4.44]",1.0207965098857936
138,D,H,0.0023339450520874676,"[2.37, 3.69, 2.94]",1.0184140269223574
139,A,H,0.004529492215638239,"[2.67, 3.92, 2.47]",1.0138011285151158
140,A,H,0.00983006417273255,"[1.37, 5.48, 7.77]",1.0038353983634236
141,H,H,0.0043124318052409115,"[2.88, 3.75, 2.38]",1.0119738651577863
142,H,D,0.007164510097014125,"[5.38, 4.39, 1.6]",1.004723568182949
143,A,A,0.004929673746378246,"[1.68, 4.05, 5.18]",1.0254269384600638
144,H,D,0.008790140188361868,"[5.33, 4.22, 1.63]",1.016413291918077
145,H,A,0.00973654530173691,"[3.68, 3.76, 2.01]",1.006516937856029
146,H,D,0.009417930339889477,"[4.69, 4.07, 1.73]",0.9970376314493821
147,H,A,0.007969382845970976,"[3.23, 4.13, 2.07]",0.9890918568525219
148,A,H,0.009912322543853234,"[1.95, 3.88, 3.76]",0.979287659341901
149,D,D,0.005287966178927114,"[1.23, 6.63, 12.95]",1.00844227666599
150,A,D,0.005046405218786602,"[1.32, 6.04, 8.88]",1.0033532682981776
151,A,H,0.007791053368803079,"[1.3, 6.02, 8.95]",0.9955360894371036
152,A,A,0.005241837507965204,"[1.91, 3.91, 3.93]",1.0108261139905468
153,D,H,0.0027426028632790474,"[2.67, 3.38, 2.76]",1.008053819396039
154,D,A,0.006759305937831985,"[1.9, 3.89, 3.97]",1.0012400752289412
155,A,A,0.010501703434180798,"[1.6, 4.65, 5.07]",1.0440350114183792
156,A,H,0.005984360171143193,"[1.33, 6.05, 8.44]",1.037787129878768
157,H,A,0.014442129557650833,"[4.47, 4.51, 1.69]",1.0227992736957963
158,A,D,0.007584192829049433,"[1.72, 4.27, 4.49]",1.0150421667786755
159,D,H,0.008231876638624439,"[3.3, 3.79, 2.14]",1.0066864648787515
160,A,A,0.0019845346171737093,"[2.39, 3.47, 3.07]",1.0108219194448091
161,H,A,0.009004947686093289,"[4.69, 4.02, 1.74]",1.0017195209402523
162,H,D,0.0027690468326447503,"[2.8, 3.83, 2.41]",0.9989457126735942
163,H,A,0.009081538364699115,"[6.75, 4.17, 1.54]",0.9898737488596973
164,H,D,0.01076959503758252,"[5.48, 4.09, 1.64]",0.9792132094461447
165,A,D,0.008481084435221992,"[1.42, 5.06, 7.35]",0.9709084195367472
166,H,A,0.001623257238627029,"[2.63, 3.58, 2.68]",0.9693323854166903
167,A,A,0.005115699512700841,"[1.86, 3.87, 4.16]",0.9850022351657296
168,H,A,0.01377146737028891,"[4.47, 4.37, 1.71]",0.9714373090244831
169,A,D,0.006110095274328126,"[1.34, 5.73, 8.52]",0.9655017345133066
170,D,D,0.006095818382483948,"[1.92, 3.85, 3.94]",0.9822754756947707
171,A,A,0.005347582759702423,"[1.47, 4.98, 6.32]",1.0102203684980033
172,A,H,0.0070093112304085966,"[1.94, 4.02, 3.69]",1.0031394195239027
173,A,H,0.007264922134929872,"[2.37, 3.81, 2.87]",0.9958516897505828
174,D,A,0.005741242108343623,"[3.28, 3.62, 2.21]",0.9901342640957216
175,H,H,0.004776937566174891,"[3.95, 3.74, 1.94]",1.0040872023027831
176,A,H,0.003907691929255756,"[1.08, 13.84, 24.96]",1.0001635388460755
177,A,D,0.0055903667063929045,"[1.64, 4.54, 4.96]",0.9945722578975622
178,A,H,0.004132648190862085,"[1.15, 8.67, 20.05]",0.9904620406552802
179,H,A,0.009446899630684825,"[8.42, 5.9, 1.33]",0.9811052451692065
180,A,H,0.007221712508185544,"[1.64, 4.13, 5.4]",0.9740199851483216
181,D,A,0.004184379796231793,"[2.69, 3.18, 2.88]",0.969944315601341
182,A,D,0.002563506861527762,"[2.37, 3.59, 3.0]",0.9674578566929971
183,A,D,0.010106738477674793,"[1.63, 4.91, 4.57]",0.9576800131472293
184,H,A,0.01115641035714189,"[7.32, 5.34, 1.4]",0.9469957419297258
185,D,D,0.004331862635953663,"[1.99, 3.91, 3.62]",0.958933305349965
186,H,H,0.010764444295486383,"[7.1, 5.2, 1.42]",1.0218998486559756
187,A,A,0.0015206145403977391,"[2.72, 3.68, 2.54]",1.024292878939768
188,H,A,0.009532671900248193,"[6.98, 4.93, 1.44]",1.0145286309950745
189,,A,0.0,,1.0145286309950745
190,A,H,0.007193409236886022,"[1.32, 5.64, 9.41]",1.0072307113697891
191,D,H,0.006891457113118858,"[1.75, 3.91, 4.82]",1.000289424119368
192,H,D,0.008376097806080505,"[3.69, 3.97, 1.95]",0.9919109020685563
193,A,H,0.008382262495475088,"[1.32, 6.41, 8.2]",0.983596444515294
194,H,A,0.013033647218096623,"[2.95, 3.59, 2.41]",0.9707765954525075
195,H,D,0.007915299184691124,"[4.62, 3.7, 1.82]",0.963092608258005
196,A,D,0.006750176081552677,"[1.56, 4.46, 5.71]",0.9565915635694217
197,A,D,0.007724218860501212,"[1.29, 6.14, 9.37]",0.9492026409723023
198,H,A,0.010025990609217363,"[3.44, 3.22, 2.31]",0.9396859442076697
199,H,D,0.00926375903738911,"[4.9, 4.56, 1.65]",0.9309809200497084
200,D,D,0.006690843048411108,"[1.5, 4.96, 6.17]",0.9556479470294955
201,D,H,0.003503592573581914,"[3.03, 3.54, 2.41]",0.9522997459793242
202,H,D,0.00854234685643946,"[5.28, 4.24, 1.65]",0.9441648712378696
203,D,A,0.00742558840234418,"[3.26, 3.31, 2.36]",0.9371538915201049
204,H,A,0.006389237937286781,"[4.01, 3.76, 1.93]",0.9311661923233288
205,A,H,0.007832150900278929,"[1.36, 5.73, 7.91]",0.9238731581918144
206,A,H,0.007433026788582098,"[1.4, 5.54, 6.88]",0.9170059842577227
207,H,A,0.007543538307919748,"[3.84, 3.78, 1.96]",0.9100885144868829
208,A,H,0.007766777655816229,"[1.31, 5.97, 9.23]",0.9030200593477512
209,A,A,0.004927312020565126,"[1.65, 4.33, 4.99]",0.9207734111047612
210,H,A,0.011217222609921676,"[6.49, 5.33, 1.43]",0.9104448907791022
211,H,A,0.00773276606982956,"[4.38, 3.91, 1.81]",0.9034046334192359
212,D,A,0.003219039289588159,"[2.65, 3.49, 2.7]",0.9004965384098634
213,D,D,0.00845974572202101,"[1.53, 4.4, 6.38]",0.9263976423207891
214,H,H,0.0035125462655056687,"[2.97, 3.45, 2.46]",0.9328080510412361
215,D,A,0.003013012812833916,"[2.11, 3.77, 3.39]",0.9299974884315342
216,A,H,0.009065030269007006,"[1.4, 4.92, 8.27]",0.9215670330488018
217,H,A,0.009710031879076927,"[7.76, 5.51, 1.37]",0.9126185877791916
218,A,H,0.006965924594136443,"[1.38, 5.69, 7.16]",0.9062613555135144
219,A,H,0.0054765060010727815,"[2.11, 3.7, 3.45]",0.9012982097615043
220,D,A,0.00964412387724051,"[1.68, 3.83, 5.5]",0.8926059781762292
221,A,H,0.004291432661967472,"[1.1, 11.75, 21.77]",0.8887754197272163
222,H,A,0.009813928455996504,"[7.05, 5.17, 1.42]",0.8800530413445652
223,H,A,0.010877943985863045,"[6.86, 4.74, 1.47]",0.8704798736562306
224,D,H,0.004959550486498299,"[2.03, 4.09, 3.36]",0.8661626847753519
225,A,A,0.006402844351562961,"[2.06, 3.7, 3.59]",0.8805265783465605
226,A,A,0.009535105679625034,"[1.46, 5.37, 5.94]",0.9220023933991307
227,A,D,0.007820552498351754,"[1.55, 4.46, 5.99]",0.9147918252779468
228,D,A,0.005811769922751165,"[2.32, 3.48, 3.18]",0.9094752656622178
229,A,H,0.003856814296699845,"[2.46, 3.43, 2.99]",0.9059675884551169
230,H,A,0.009170846424551092,"[4.68, 4.35, 1.68]",0.8976590988357741
231,A,H,0.006094353405384381,"[1.81, 3.7, 4.73]",0.8921884470499101
232,A,A,0.00744070202494497,"[2.0, 3.71, 3.78]",0.910643500359089
233,A,A,0.00485978574929151,"[1.71, 4.14, 4.74]",0.9271949911825194
234,H,H,0.004637222677405967,"[3.43, 3.56, 2.17]",0.9376430426064771
235,A,A,0.008114461324129954,"[2.12, 3.88, 3.11]",0.9536969105191744
236,D,A,0.00334747293651412,"[1.98, 3.49, 3.83]",0.9505044359215743
237,D,H,0.014795355947453532,"[1.93, 3.63, 3.85]",0.936441384462481
238,D,H,0.0057705101816765796,"[1.36, 5.92, 7.51]",0.931037639918897
239,H,D,0.009951296239268236,"[7.36, 4.73, 1.45]",0.9217726085541549
240,H,H,0.0030755952689541545,"[2.92, 3.65, 2.43]",0.9272158075440825
241,H,A,0.008787896080136842,"[9.47, 5.42, 1.34]",0.9190675313835249
242,A,D,0.006870356995903515,"[1.41, 5.02, 7.6]",0.9127532093395764
243,D,H,0.002968349194373741,"[2.23, 3.38, 3.47]",0.9100438390859712
244,A,H,0.007875644981383049,"[1.99, 4.09, 3.49]",0.9028766568918352
245,H,A,0.011803856291939072,"[6.01, 4.65, 1.52]",0.8922192305845376
246,A,A,0.005045344672160433,"[2.43, 3.71, 2.83]",0.9004570735653522
247,D,A,0.009052273545946395,"[1.79, 3.5, 5.17]",0.8923058898190562
248,A,H,0.0071211056679124215,"[1.19, 8.22, 12.7]",0.885951685289554
249,A,H,0.007751730941277825,"[2.46, 3.84, 2.73]",0.8790840261982178
