match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
108,A,A,0.019530976755620908,"[1.25, 6.95, 9.87]",0.27758029643571674
109,A,D,0.025668538073234073,"[2.75, 3.53, 2.59]",0.27045521602827693
110,H,A,0.019261975055995535,"[7.05, 4.78, 1.46]",0.26524571440337635
111,A,H,0.023153168313212274,"[1.38, 5.03, 8.73]",0.2591044357334368
112,A,D,0.03659347992912975,"[1.63, 4.06, 5.59]",0.24962290276487678
113,A,A,0.05507792693919493,"[2.42, 3.62, 2.91]",0.27588294268646907
114,A,D,0.0490466329342348,"[2.5, 3.38, 2.97]",0.26235181326370927
115,A,A,0.03671511670167008,"[1.64, 4.11, 5.43]",0.30502280232677154
116,A,A,0.03345731842032591,"[1.48, 4.98, 6.13]",0.357375709294284
117,H,A,0.01805176122564526,"[10.83, 5.79, 1.28]",0.350924448322258
118,H,D,0.01953101601442514,"[5.24, 4.25, 1.64]",0.3440705373022227
119,A,A,0.026628130199115592,"[1.5, 4.58, 6.49]",0.3943696706088709
120,A,D,0.0246542059540256,"[1.39, 5.33, 7.66]",0.38464679952765857
121,A,H,0.034037221633077534,"[1.65, 4.33, 4.98]",0.3715544911616817
122,A,D,0.01101274220470175,"[3.16, 3.52, 2.31]",0.36746265733551897
123,A,H,0.04074089405670401,"[1.78, 3.75, 4.85]",0.3524919001432177
124,H,A,0.03748442023864804,"[2.86, 3.6, 2.46]",0.33927894562752975
125,H,A,0.015439822231604141,"[7.07, 4.76, 1.46]",0.3340405390201146
126,A,H,0.02963908070671386,"[1.7, 4.3, 4.6]",0.3241398845247832
127,A,H,0.024146715476646256,"[1.55, 4.36, 6.17]",0.3163129709585303
128,A,D,0.019397935124187606,"[1.75, 4.35, 4.28]",0.3101771524689377
129,A,H,0.059530817450175785,"[2.08, 3.76, 3.48]",0.291712053028094
130,H,A,0.010610088931541684,"[3.15, 3.41, 2.39]",0.2886169622030633
131,H,H,0.02608997803157125,"[2.95, 3.43, 2.52]",0.303300482099726
